,0
0,392.67
1,476.32
2,546.3166666666667
3,562.5346666666667
4,506.21666666666664
5,362.87333333333333
6,271.15
7,203.07555555555555
8,160.84
9,148.73
10,163.96333333333334
11,260.31
12,367.6533333333333
13,411.99288888888884
14,443.4672222222223
15,410.35833333333335
16,374.0471111111111
17,358.0443095238095
18,318.04333333333335
19,299.86
20,251.1
21,277.83666666666664
22,272.48333333333335
23,343.0133333333333
24,437.38
25,478.46666666666664
26,532.3733333333333
27,491.8872222222223
28,431.1066666666667
29,374.6
30,276.5566666666667
31,210.67666666666668
32,165.49333333333334
33,143.86
34,190.85266666666666
35,258.12333333333333
36,359.24333333333334
37,406.0281428571429
38,419.945
39,413.7133333333333
40,373.0233333333333
41,321.62333333333333
42,292.72
43,279.14
44,268.55333333333334
45,255.92666666666668
46,298.1566666666667
47,387.5366666666667
48,424.85
49,489.5366666666667
50,526.6966666666667
51,527.04
52,476.39
53,401.34
54,323.6066666666667
55,246.14666666666668
56,201.36333333333334
57,188.53
58,185.89
59,285.03333333333336
60,373.83666666666664
61,442.78333333333336
62,426.81666666666666
63,425.51666666666665
64,394.7733333333333
65,355.2133333333333
66,343.2966666666667
67,294.50333333333333
68,281.4066666666667
69,288.9266666666667
70,329.43
71,392.73333333333335
72,445.3333333333333
73,531.58
74,581.1566666666666
75,553.5333333333333
76,490.79
77,402.64666666666665
78,308.18
79,222.61333333333334
80,177.63666666666666
81,159.23333333333332
82,174.97333333333333
83,281.76666666666665
84,351.1333333333333
85,421.61333333333334
86,434.74333333333334
87,428.1653333333334
88,368.33166666666665
89,356.3686111111111
90,313.47
91,264.83
92,264.12333333333333
93,264.0
94,298.44
95,392.05333333333334
96,425.1933333333333
97,531.95
98,583.6233333333333
99,515.385
100,501.43333333333334
101,374.31666666666666
102,301.78
103,211.88933333333335
104,158.88666666666666
105,162.16
106,189.83666666666667
107,258.61333333333334
108,369.46
109,420.7916666666667
110,415.7865555555556
111,421.64877777777775
112,389.7033333333333
113,352.38666666666666
114,347.36333333333334
115,279.31
116,326.68666666666667
117,357.34166666666664
118,399.20666666666665
119,433.39
120,491.56666666666666
121,559.86
122,605.8933333333333
123,583.81
124,508.73333333333335
125,414.89
126,321.30333333333334
127,224.07333333333332
128,173.67666666666668
129,157.21666666666667
130,177.93
131,256.6333333333333
132,335.93
133,458.49
134,487.43666666666667
135,495.1666666666667
136,423.8333333333333
137,385.5485
138,362.06333333333333
139,300.61333333333334
140,276.98
141,303.5133333333333
142,320.53333333333336
143,337.75
144,446.98333333333335
145,483.5506666666667
146,512.6766666666666
147,510.10333333333335
148,513.5233333333333
149,380.71230952380955
150,291.42333333333335
151,190.37666666666667
152,159.59666666666666
153,145.37
154,157.12666666666667
155,247.42666666666668
156,352.07666666666665
157,415.03
158,411.85
159,404.61
160,347.8433333333333
161,310.4
162,317.55333333333334
163,274.78841269841274
164,303.5466666666667
165,272.4655555555555
166,325.18666666666667
167,387.04
168,445.48
169,508.9866666666667
170,636.0266666666666
171,558.2533333333333
172,448.29
173,386.09
174,290.59
175,195.05
176,180.62666666666667
177,160.65333333333334
178,189.71
179,282.63666666666666
180,419.52
181,429.9166666666667
182,433.57
183,419.35638888888883
184,416.94066666666663
185,362.75333333333333
186,321.82
187,295.50222222222226
188,278.0
189,279.8933333333333
190,316.3833333333333
191,389.89
192,447.34
193,537.3216666666667
194,593.0
195,548.88
196,466.77666666666664
197,399.7733333333333
198,306.41
199,196.109
200,163.34666666666666
201,136.66
202,170.21666666666667
203,246.43666666666667
204,341.69
205,406.764
206,403.75
207,417.5933333333333
208,367.62
209,333.74
210,315.80333333333334
211,291.9508333333333
212,271.48
213,260.23111111111115
214,317.50333333333333
215,374.12666666666667
216,415.01666666666665
217,488.78
218,548.2266666666667
219,536.7
220,497.42
221,412.1533333333333
222,305.47
223,220.48
224,182.74333333333334
225,159.61
226,170.37
227,271.78
228,319.48
229,407.33666666666664
230,432.05
231,425.3544444444444
232,386.74
233,348.16
234,305.9433333333333
235,279.07
236,260.89666666666665
237,280.71
238,310.2633333333333
239,367.61333333333334
240,431.8066666666667
241,523.8633333333333
242,592.09
243,540.3533333333334
244,468.94666666666666
245,415.13
246,299.26
247,204.30888888888887
248,171.76666666666668
249,161.57333333333332
250,167.53
251,255.77
252,368.27666666666664
253,449.84341269841275
254,480.8833333333333
255,457.1727777777777
256,394.54333333333335
257,331.95433333333335
258,308.23
259,279.35
260,263.99666666666667
261,281.35
262,300.48333333333335
263,349.83666666666664
264,460.2
265,502.51
266,546.9833333333333
267,491.75666666666666
268,481.65
269,367.7966666666667
270,289.6666666666667
271,194.71166666666667
272,152.53333333333333
273,150.69
274,161.39
275,287.0466666666667
276,393.08
277,464.47333333333336
278,481.50666666666666
279,434.3866666666666
280,403.78333333333336
281,377.00666666666666
282,329.5966666666667
283,299.26
284,264.4433333333333
285,284.74333333333334
286,309.89666666666665
287,395.52133333333336
288,464.4866666666667
289,583.3166666666667
290,647.365
291,516.4833333333333
292,466.47
293,396.02666666666664
294,271.50966666666665
295,206.15400000000002
296,158.54
297,152.19666666666666
298,176.58666666666667
299,265.6766666666667
300,361.97
301,462.905
302,448.1766666666667
303,445.20666666666665
304,393.92
305,393.11
306,309.57
307,266.77
308,246.65666666666667
309,254.47333333333333
310,305.5966666666667
311,347.9166666666667
312,450.92333333333335
313,513.4477777777778
314,640.9466666666667
315,523.8433333333334
316,448.0
317,357.0466666666667
318,279.80333333333334
319,195.43
320,172.39
321,153.74666666666667
322,163.96
323,242.95666666666668
324,354.1
325,422.759
326,457.75333333333333
327,446.6433333333333
328,368.8877777777778
329,329.89799999999997
330,318.22333333333336
331,278.2733333333333
332,254.48333333333332
333,273.7366666666667
334,280.55
335,323.6
336,443.77
337,460.095
338,564.7866666666666
339,531.9533333333334
340,463.6577777777778
341,386.7366666666667
342,297.5133333333333
343,229.62666666666667
344,181.98
345,165.77666666666667
346,174.93
347,274.6
348,363.1066666666667
349,415.75
350,474.37333333333333
351,510.13
352,518.86
353,535.4566666666667
354,540.46
355,526.83
356,476.50333333333333
357,378.7633333333333
358,384.32
359,453.23
360,506.6666666666667
361,580.9333333333333
362,612.8933333333333
363,585.15
364,512.53
365,427.36
366,337.66
367,245.80666666666667
368,194.24
369,184.75666666666666
370,190.74666666666667
371,296.22
372,398.35333333333335
373,511.7733333333333
374,522.06
375,494.70666666666665
376,412.1
377,370.50211111111116
378,336.78333333333336
379,272.81
380,254.01666666666668
381,271.0833333333333
382,283.49111111111114
383,348.68333333333334
384,392.37333333333333
385,531.82
386,553.9016666666666
387,549.25
388,440.99
389,363.56
390,281.63666666666666
391,194.95494444444446
392,149.66
393,150.28333333333333
394,166.60333333333332
395,257.05
396,360.94666666666666
397,416.5566666666667
398,396.6566666666667
399,399.91333333333336
400,330.0933333333333
401,339.0065
402,301.42
403,281.6673333333333
404,265.5133333333333
405,309.82
406,372.80333333333334
407,451.31
408,523.0533333333333
409,652.5433333333333
410,706.09
411,695.02
412,787.7233333333334
413,576.2833333333333
414,561.6266666666667
415,461.1066666666667
416,494.8233333333333
417,529.5766666666667
418,499.66
419,437.12
420,533.1266666666667
421,542.8266666666667
422,547.6633333333333
423,522.0233333333333
424,457.07
425,424.83
426,385.5233333333333
427,340.1166666666667
428,340.38
429,337.18333333333334
430,327.41333333333336
431,403.08
432,444.50333333333333
433,542.3766666666667
434,582.5866666666667
435,560.1066666666667
436,493.43
437,409.1166666666667
438,326.79
439,226.14333333333335
440,172.67666666666668
441,159.15
442,150.02
443,279.55
444,390.7966666666667
445,418.91972222222216
446,486.242
447,448.5233333333333
448,382.2033333333333
449,362.8990000000001
450,333.1388888888889
451,279.1333333333333
452,252.86666666666667
453,278.28
454,335.94
455,397.81
456,417.1433333333333
457,475.12
458,546.2027777777778
459,528.79
460,453.61333333333334
461,396.09000000000003
462,288.835
463,205.89
464,164.49666666666667
465,153.21333333333334
466,159.94333333333333
467,273.77
468,429.93666666666667
469,404.1432222222222
470,436.49666666666667
471,423.00666666666666
472,394.0
473,356.9944444444444
474,316.5744444444445
475,284.93
476,254.52666666666667
477,278.28
478,340.37333333333333
479,383.3833333333333
480,411.91
481,500.25666666666666
482,571.7104444444445
483,539.0
484,460.52666666666664
485,367.47333333333336
486,268.96
487,199.62872222222222
488,151.95333333333335
489,147.17666666666668
490,164.19333333333333
491,270.2
492,394.91
493,470.3833333333333
494,425.78
495,410.86
496,342.2966666666667
497,319.55333333333334
498,323.15
499,292.85333333333335
500,268.19
501,265.65
502,282.08111111111106
503,360.71
504,392.43
505,526.8733333333333
506,603.3916666666667
507,555.22
508,472.06666666666666
509,397.65
510,309.44666666666666
511,195.03066666666663
512,169.91666666666666
513,133.75333333333333
514,165.68333333333334
515,233.375
516,296.17333333333335
517,403.575380952381
518,427.64666666666665
519,401.66333333333336
520,345.26666666666665
521,330.8330555555556
522,309.68666666666667
523,255.67166666666665
524,246.27333333333334
525,248.95
526,294.9577777777778
527,377.51888888888885
528,400.07
529,495.75666666666666
530,549.5922222222222
531,532.6266666666667
532,463.03333333333336
533,390.52666666666664
534,287.33166666666665
535,194.34333333333333
536,162.37333333333333
537,151.33333333333334
538,159.55
539,231.58
540,359.62
541,400.4351111111111
542,408.38733333333334
543,399.83
544,343.31666666666666
545,328.0463888888889
546,296.1666666666667
547,257.69
548,253.93333333333334
549,255.69666666666666
550,285.3588888888889
551,341.062
552,436.21666666666664
553,483.12333333333333
554,571.0511111111111
555,568.54
556,474.6166666666667
557,382.19666666666666
558,283.94666666666666
559,186.63333333333333
560,152.32666666666665
561,140.43333333333334
562,170.84333333333333
563,259.51666666666665
564,374.72333333333336
565,426.06333333333333
566,424.31666666666666
567,400.12333333333333
568,360.09
569,345.1027777777778
570,286.69666666666666
571,290.98
572,263.45666666666665
573,269.80333333333334
574,290.87333333333333
575,352.3066666666667
576,397.19666666666666
577,535.3966666666666
578,563.365
579,519.82
580,514.7733333333333
581,385.3066666666667
582,285.38
583,213.14
584,169.09
585,146.54666666666665
586,169.99333333333334
587,294.73333333333335
588,404.81
589,430.81
590,446.62333333333333
591,409.92833333333334
592,355.35333333333335
593,353.0566666666667
594,348.63666666666666
595,318.76666666666665
596,319.70666666666665
597,341.35333333333335
598,383.42333333333335
599,438.14666666666665
600,518.2033333333334
601,605.9333333333333
602,631.78
603,578.2133333333334
604,484.53
605,399.0
606,302.9301111111111
607,223.21
608,194.80666666666667
609,171.54666666666665
610,194.50333333333333
611,283.81
612,382.6766666666667
613,463.86
614,467.49666666666667
615,464.06333333333333
616,421.8666666666667
617,377.0913333333333
618,356.42333333333335
619,307.94666666666666
620,295.39666666666665
621,278.9166666666667
622,321.12666666666667
623,398.7633333333333
624,465.56
625,539.0833333333334
626,506.94666666666666
627,558.7166666666667
628,494.1333333333333
629,391.98
630,286.0833333333333
631,189.807
632,165.84333333333333
633,138.43333333333334
634,158.63
635,295.48
636,460.12666666666667
637,448.0566666666667
638,462.17888888888893
639,460.31333333333333
640,397.04333333333335
641,368.09583333333336
642,303.10333333333335
643,268.46
644,241.61666666666667
645,268.2866666666667
646,284.54
647,388.69
648,439.36
649,541.6466666666666
650,622.3833333333333
651,534.03
652,456.49666666666667
653,387.93666666666667
654,305.92833333333334
655,211.25333333333333
656,168.04
657,145.85
658,160.49666666666667
659,290.3233333333333
660,345.35333333333335
661,466.8453888888889
662,479.86
663,474.48333333333335
664,400.52666666666664
665,369.2033333333333
666,312.14666666666665
667,268.5366666666667
668,242.37
669,253.64333333333335
670,300.6066666666667
671,377.86555555555555
672,393.5733333333333
673,519.5366666666666
674,571.8966666666666
675,567.22
676,440.35333333333335
677,374.83666666666664
678,271.95
679,210.415
680,170.55333333333334
681,143.42666666666668
682,180.20666666666668
683,288.1933333333333
684,395.24
685,407.6333333333333
686,463.79744444444447
687,472.19666666666666
688,425.62666666666667
689,357.06666666666666
690,306.0
691,267.105
692,264.6333333333333
693,272.43
694,298.31333333333333
695,355.9266666666667
696,424.99666666666667
697,474.1397222222223
698,547.555
699,523.4
700,501.64666666666665
701,415.1566666666667
702,280.5389444444445
703,218.13666666666666
704,177.89
705,159.14
706,163.91166666666666
707,272.0566666666667
708,360.3233333333333
