,0
0,408.57666666666665
1,479.22333333333336
2,536.17
3,481.86333333333334
4,429.81666666666666
5,371.94
6,258.49333333333334
7,206.75333333333333
8,163.72
9,147.46
10,169.96666666666667
11,270.33
12,333.08
13,399.23555555555555
14,423.66333333333336
15,398.56333333333333
16,357.47
17,316.94
18,281.70666666666665
19,269.19666666666666
20,235.93666666666667
21,235.87666666666667
22,281.88666666666666
23,342.8333333333333
24,392.46666666666664
25,443.7966666666667
26,541.72
27,482.06
28,443.46372222222215
29,367.26
30,252.16333333333333
31,199.39
32,154.61
33,139.03
34,165.57
35,278.2733333333333
36,416.6766666666667
37,445.71
38,461.17
39,424.5466666666667
40,364.55333333333334
41,333.98
42,284.8466666666667
43,266.5133333333333
44,242.33
45,248.36666666666667
46,278.2133333333333
47,328.68
48,387.99
49,445.00666666666666
50,520.82
51,470.4066666666667
52,431.175
53,353.27
54,250.94
55,207.00333333333333
56,166.82
57,138.89666666666668
58,162.12333333333333
59,220.78666666666666
60,325.49
61,410.46
62,419.7266666666667
63,415.27
64,381.15
65,335.13666666666666
66,309.02
67,272.06666666666666
68,240.38
69,249.76666666666668
70,281.77
71,340.8466666666667
72,408.0133333333333
73,458.17333333333335
74,506.0566666666667
75,491.19666666666666
76,430.48
77,363.8466666666667
78,262.81
79,202.56550000000001
80,155.09666666666666
81,144.87
82,173.86
83,277.95666666666665
84,377.24333333333334
85,401.74
86,403.52388888888885
87,406.5543333333333
88,337.41333333333336
89,308.94
90,306.53
91,275.0233333333333
92,273.31666666666666
93,246.65
94,284.79
95,342.72333333333336
96,415.08666666666664
97,489.2033333333333
98,513.1366666666667
99,505.33
100,441.6933333333333
101,348.4633333333333
102,269.33666666666664
103,205.51
104,169.75666666666666
105,172.21
106,179.29
107,270.16
108,348.24
109,404.12333333333333
110,419.75
111,403.5804444444444
112,343.0366666666667
113,311.63
114,294.54
115,278.9533333333333
116,268.41333333333336
117,248.96666666666667
118,283.87333333333333
119,343.8566666666667
120,414.48
121,469.62333333333333
122,542.8866666666667
123,523.1266666666667
124,461.42333333333335
125,367.6566666666667
