,0
0,1473.3333333333333
1,1733.8966666666668
2,1773.67
3,1805.9466666666667
4,1696.1833333333334
5,1487.3666666666666
6,1233.75
7,1001.69
8,860.48
9,804.07
10,770.1166666666667
11,945.25
12,1383.22
13,1541.2066666666667
14,1547.5933333333332
15,1369.1766666666667
16,1304.6066666666666
17,1133.6666666666667
18,1116.1016666666667
19,1088.2233333333334
20,1058.0233333333333
21,997.8966666666666
22,994.5566666666666
23,1096.51
24,1332.8
25,1495.8566666666666
26,1674.5066666666667
27,1778.1466666666668
28,1686.01
29,1446.8233333333333
30,1194.0833333333333
31,1029.0966666666666
32,802.6233333333333
33,691.5933333333334
34,739.52
35,960.0233333333333
36,1378.6366666666668
37,1709.1783333333333
38,1502.7933333333333
39,1285.31
40,1271.1833333333334
41,1135.8066666666666
42,1132.11
43,1116.9866666666667
44,1047.22
45,1080.1966666666667
46,1027.73
47,1152.6866666666667
48,1425.3933333333334
49,1656.5266666666666
50,1764.0233333333333
51,1754.9066666666668
52,1673.8266666666666
53,1398.8233333333333
54,1189.81
55,973.9633333333334
56,870.37
57,715.21
58,752.6833333333333
59,877.1666666666666
60,1260.3666666666666
61,1648.595
62,1545.4566666666667
63,1439.97
64,1286.08
65,1136.9966666666667
66,1191.0966666666666
67,1172.69
68,1093.84
69,1015.9166666666666
70,981.9333333333333
71,1111.6566666666668
72,1334.6433333333334
73,1578.9033333333334
74,1701.5366666666666
75,1816.6833333333334
76,1722.2933333333333
77,1480.16
78,1213.7366666666667
79,978.3466666666667
80,801.4833333333333
81,779.1366666666667
82,755.0166666666667
83,907.86
84,1343.3233333333333
85,1589.9444444444443
86,1469.0333333333333
87,1272.8733333333332
88,1169.8
89,1038.0466666666666
90,1041.58
91,1034.9566666666667
92,985.9533333333334
93,970.9833333333333
94,1013.7866666666666
95,1183.3233333333333
96,1393.6
97,1638.8733333333332
98,1738.5766666666666
99,1809.6166666666666
100,1681.3433333333332
101,1473.33
102,1209.7333333333333
103,1009.7633333333333
104,829.2788888888889
105,722.84
106,766.1833333333333
107,898.4066666666666
108,1343.0966666666666
109,1532.5333333333333
110,1443.9333333333334
111,1282.3733333333332
112,1192.64
113,1092.76
114,1097.2573333333335
115,1038.8333333333333
116,1002.1633333333333
117,1006.0233333333333
118,1022.4833333333333
119,1122.5833333333333
120,1313.9266666666667
121,1574.99
122,1683.9766666666667
123,1763.94
124,1619.3833333333334
125,1456.652222222222
