,‹TŽRŽs,0
0,486,461.41842063492055
1,522,438.32666666666665
2,507,441.30333333333334
3,435,422.1566666666667
4,406,340.41
5,352,305.5233333333333
6,312,269.0733333333333
7,285,277.1387777777778
8,306,255.28666666666666
9,368,259.85
10,435,346.11988888888885
11,500,397.06333333333333
12,588,481.85333333333335
13,607,547.1331111111111
14,592,545.1188095238094
15,515,498.61677777777766
16,421,373.6533333333333
17,323,280.23333333333335
18,208,196.19333333333333
19,162,160.99444444444444
20,151,148.97333333333333
21,152,171.51666666666668
22,232,265.73
23,354,366.51
24,511,417.37916666666666
25,627,446.39
26,602,408.7393333333333
27,528,417.5733333333333
28,491,374.9725
29,427,319.15
30,377,304.3
31,330,272.6122222222222
32,316,272.3933333333333
33,383,313.56333333333333
34,442,347.68
35,502,438.25666666666666
36,597,487.24333333333334
37,605,535.2533333333333
38,576,491.76666666666665
39,494,437.3566666666667
40,402,374.64666666666665
41,284,279.1533333333333
42,201,216.2461111111111
43,168,170.565
44,130,145.80333333333334
45,142,188.98
46,190,349.1066666666667
47,280,420.7366666666667
48,405,452.40611111111116
49,453,434.17333333333335
50,451,452.7366666666667
51,410,374.53
52,392,356.95
53,354,298.14
54,340,276.75
55,272,267.67333333333335
56,302,258.77666666666664
57,323,313.94666666666666
58,436,356.21
59,511,484.71
60,552,452.09
61,593,604.1433333333333
62,550,506.13
63,488,497.3852222222222
64,406,443.79
65,280,344.7366666666667
66,207,418.05
67,180,367.7
68,179,285.31666666666666
69,166,303.93
70,203,324.67
71,321,419.4431666666666
72,446,448.83
73,470,475.33
74,459,438.23333333333335
75,446,387.71
76,432,347.5566666666667
77,370,302.62666666666667
78,336,275.75333333333333
79,306,261.94
80,316,249.49666666666667
81,388,315.55333333333334
82,453,360.2491865079365
83,524,396.51
84,583,513.0433333333333
85,630,550.5933333333334
86,598,547.138888888889
87,506,467.43333333333334
88,413,418.2266666666667
89,311,294.37333333333333
90,205,200.3
91,154,174.95666666666668
92,148,157.75333333333333
93,136,170.21333333333334
94,196,291.6433333333333
95,346,357.13666666666666
96,504,424.6501111111111
97,576,476.47333333333336
98,629,419.6058333333333
99,519,383.07
100,475,356.81788888888894
101,424,331.647156084656
102,352,268.74666666666667
103,309,262.53
104,305,271.8
105,352,303.49333333333334
106,459,404.3233333333333
107,496,433.3
108,575,538.12
109,612,587.7133333333334
110,564,517.16
111,495,517.18
112,396,366.3911111111111
113,292,319.84
114,201,252.17
115,150,235.84
116,144,233.80666666666667
117,141,207.07333333333332
118,174,350.49
119,239,368.07444444444445
120,347,437.3466666666667
121,414,451.9433333333333
122,394,427.28333333333336
123,395,373.6333333333333
124,383,338.25
125,336,418.85333333333335
126,295,368.82666666666665
127,286,326.74333333333334
128,320,271.90833333333336
129,373,352.47
130,467,359.1433333333333
131,526,453.28
132,583,552.5366666666666
133,645,539.6166666666667
134,577,519.6033333333334
135,502,486.48
136,400,405.08
137,290,302.36333333333334
138,193,210.82666666666665
139,169,174.92555555555555
140,137,150.89666666666668
141,153,170.57666666666665
142,248,259.7966666666667
143,393,325.43
144,485,466.55333333333334
145,514,487.6166666666667
146,521,477.47333333333336
147,462,404.9866666666667
148,420,354.797
149,400,363.9633333333333
150,320,300.4266666666667
151,288,264.08
152,300,295.24666666666667
153,360,319.79333333333335
154,421,344.875
155,523,462.82555555555564
156,599,485.33666666666664
157,658,528.1466666666666
158,606,547.1533333333333
159,530,520.8533333333334
160,409,385.5103095238095
161,316,305.48833333333334
162,202,190.91666666666666
163,158,158.83
164,142,147.42666666666668
165,149,157.22
166,261,251.74333333333334
167,384,348.66
168,450,497.4816666666667
169,509,457.6522222222222
170,483,477.24666666666667
171,425,386.9433333333333
172,399,323.07666666666665
173,322,314.28
174,308,274.3128571428571
175,254,308.96
176,293,268.2974206349206
177,319,321.31666666666666
178,432,391.89
179,484,459.16333333333336
180,585,532.5733333333334
181,648,632.1633333333333
182,578,547.4466666666667
183,506,497.13
184,429,384.25
185,294,310.1666666666667
186,210,191.45666666666668
187,162,185.14330158730158
188,148,166.75844444444445
189,135,182.33
190,195,275.82
191,286,410.09
192,385,452.6333333333333
193,438,430.10333333333335
194,442,436.9655555555556
195,431,387.43388888888893
196,399,360.88666666666666
197,349,321.2266666666667
198,312,296.35222222222217
199,285,280.54111111111115
200,324,274.8833333333333
201,348,373.47333333333336
202,435,482.5417777777777
203,512,414.24
204,572,546.9266666666666
205,617,592.6866666666666
206,579,526.5433333333333
207,478,458.485
208,405,399.3666666666667
209,300,303.75333333333333
210,191,189.63666666666666
211,155,229.58722222222224
212,135,177.95666666666668
213,150,199.37666666666667
214,155,274.22333333333336
215,229,367.88533333333334
216,336,412.49
217,413,436.9
218,435,410.9266666666667
219,420,357.6166666666667
220,417,377.59
221,384,345.18333333333334
222,303,301.965
223,282,282.36333333333334
224,293,267.17
225,369,324.02666666666664
226,447,391.30333333333334
227,565,420.51666666666665
228,655,598.4866666666667
229,701,569.0966666666667
230,638,547.6366666666667
231,538,490.44666666666666
232,409,408.65777777777777
233,325,293.19666666666666
234,207,196.88666666666666
235,153,175.94
236,148,144.26066666666665
237,164,157.7
238,287,288.7733333333333
239,431,324.6333333333333
240,489,427.3566666666667
241,575,439.5733333333333
242,494,472.75333333333333
243,446,398.3466666666667
244,408,357.3
245,333,307.4633333333333
246,317,273.7633333333333
247,284,241.61
248,280,250.86666666666667
249,346,290.65
250,450,352.49
251,502,419.85333333333335
252,607,511.39666666666665
253,659,589.8233333333334
254,610,557.1
255,543,510.36
256,407,416.22333333333336
257,317,292.03333333333336
258,213,203.84088888888888
259,152,173.09333333333333
260,141,161.16944444444442
261,170,178.95
262,292,268.77
263,420,367.22
264,479,464.37083333333334
265,503,509.87666666666667
266,491,466.87765873015877
267,414,398.12666666666667
268,377,333.2511666666667
269,344,309.52666666666664
270,284,283.25
271,274,263.13666666666666
272,272,277.38666666666666
273,322,309.1533333333333
274,444,338.29
275,523,458.08666666666664
276,610,495.30333333333334
277,648,552.0666666666667
278,632,498.56
279,528,477.3944444444444
280,419,364.79
281,318,309.71
282,206,201.41
283,158,168.40183333333334
284,138,154.525
285,158,161.90333333333334
286,270,279.2733333333333
287,415,400.86
288,466,465.76166666666666
289,498,484.11333333333334
290,459,430.86588888888883
291,399,415.01
292,380,378.54833333333335
293,315,335.2366666666667
294,306,315.07
295,267,276.91333333333336
296,254,289.58
297,334,301.05
298,425,386.7366666666667
299,497,452.7866666666667
300,604,575.7533333333333
301,673,650.1025
302,603,524.5766666666667
303,540,561.8633333333333
304,428,391.86333333333334
305,306,263.73333333333335
306,206,205.75288888888895
307,155,153.94
308,144,155.64333333333335
309,177,176.76333333333332
310,284,267.68333333333334
311,464,359.64
312,474,449.8833333333333
313,487,443.2025
314,488,454.74
315,423,404.6933333333333
316,382,392.68333333333334
317,305,303.74
318,285,264.6
319,253,238.42
320,268,244.03
321,318,289.0466666666667
322,445,365.59
323,521,455.90911111111114
324,572,546.73
325,637,622.06
326,623,521.0333333333333
327,524,488.2033333333333
328,406,373.72333333333336
329,308,282.18666666666667
330,186,194.55
331,162,180.34666666666666
332,126,169.0666666666666
333,170,179.58333333333334
334,274,277.9033333333333
335,387,382.18666666666667
336,458,494.92333333333335
337,462,512.0366666666666
338,471,464.1722222222222
339,387,392.71666666666664
340,329,332.93
341,303,322.86888888888893
342,249,279.14
343,245,253.93333333333334
344,272,332.3333333333333
345,338,291.23
346,393,317.26666666666665
347,479,449.32666666666665
348,535,459.81166666666667
349,601,622.2666666666667
350,559,538.05
351,524,438.92333333333335
352,443,382.12666666666667
353,354,471.77666666666664
354,272,370.9066666666667
355,255,175.75
356,240,227.57111111111115
357,347,217.21
358,425,280.98
359,494,356.51444444444445
360,543,572.0366666666666
361,661,538.3666666666667
362,706,565.62
363,674,530.49
364,607,458.52
365,581,386.05333333333334
366,591,300.32
367,507,290.72333333333336
368,479,293.8233333333333
369,503,296.24333333333334
370,557,353.55
371,586,441.91
372,654,454.9166666666667
373,688,559.43
374,640,510.11333333333334
375,569,462.18
376,472,368.81666666666666
377,358,291.21666666666664
378,273,199.05666666666667
379,202,180.4738888888889
380,184,131.26166666666666
381,191,180.55666666666667
382,258,307.9766666666667
383,367,364.01111111111106
384,504,423.2133333333333
385,564,423.82666666666665
386,560,464.0733333333333
387,515,373.47333333333336
388,483,330.56333333333333
389,430,305.25222222222226
390,354,274.81333333333333
391,334,260.93666666666667
392,323,263.21666666666664
393,395,292.05
394,458,323.37
395,534,402.3
396,620,532.73
397,678,624.31
398,630,538.83
399,538,452.94666666666666
400,419,369.8477777777778
401,329,289.67
402,215,195.79777777777778
403,156,194.43333333333334
404,151,151.76333333333332
405,189,173.31333333333333
406,290,254.87
407,393,392.99
408,457,417.37916666666666
409,501,397.36
410,453,387.43
411,403,331.9166666666667
412,354,327.3833333333333
413,299,305.47333333333336
414,272,321.04
415,268,338.7266666666667
416,272,323.4533333333333
417,384,383.6666666666667
418,498,459.88666666666666
419,618,483.84
420,837,606.55
421,916,728.7466666666667
422,891,684.1033333333334
423,880,686.32
424,847,514.6066666666667
425,851,463.5733333333333
426,867,369.93666666666667
427,732,360.85333333333335
428,607,184.08
429,561,198.3
430,584,292.1666666666667
431,594,421.8238888888888
432,593,404.37
433,608,421.47333333333336
434,583,409.5933333333333
435,515,357.0566666666667
436,472,307.355
437,431,299.1166666666667
438,376,292.13
439,350,292.05066666666664
440,348,273.5933333333333
441,410,287.9
442,511,331.8666666666667
443,577,419.43
444,676,532.0833333333334
445,709,511.98333333333335
446,665,483.6566666666667
447,583,453.8433333333333
448,468,383.6166666666667
449,374,305.5733333333333
450,260,202.24
451,187,170.7377777777778
452,183,147.43590476190477
453,221,152.10333333333332
454,352,278.34
455,485,390.4866666666667
456,549,435.1766666666667
457,538,496.44888888888886
458,487,483.89
459,456,394.2966666666667
460,402,376.5168333333334
461,332,327.65644444444445
462,295,318.8933333333333
463,297,300.41333333333336
464,271,282.69
465,336,346.00666666666666
466,456,384.35333333333335
467,527,423.84
468,619,521.8033333333333
469,672,569.7206666666667
470,632,566.9566666666667
471,553,462.3
472,437,395.67
473,336,293.3408333333333
474,225,209.48666666666668
475,170,159.9903888888889
476,162,155.30777777777777
477,172,157.64
478,346,280.77
479,439,431.82
480,469,467.7733333333333
481,500,462.51666666666665
482,466,438.85622222222224
483,409,403.6805555555556
484,366,353.86111111111114
485,319,313.2675555555555
486,284,273.75666666666666
487,267,294.6888888888889
488,318,282.69
489,337,350.14
490,421,344.86
491,526,412.54333333333335
492,598,452.09
493,646,620.5933333333334
494,648,561.56
495,539,465.0233333333333
496,453,360.1
497,371,265.0833333333333
498,232,202.11556349206353
499,168,153.58777777777777
500,163,151.17
501,174,167.37
502,288,277.50333333333333
503,442,395.76
504,472,476.81733333333335
505,474,444.9072222222222
506,450,435.025
507,404,380.39666666666665
508,371,352.41333333333336
509,308,298.3666666666667
510,313,293.86333333333334
511,301,270.0833333333333
512,261,263.31666666666666
513,318,259.08666666666664
514,406,324.31666666666666
515,476,381.56666666666666
516,576,520.54
517,640,587.3233333333334
518,593,561.0033333333333
519,540,462.9773333333334
520,436,384.474
521,321,309.0566666666667
522,228,180.83666666666667
523,164,179.60305555555556
524,157,172.59916666666666
525,173,184.64333333333335
526,219,287.36333333333334
527,327,325.2133333333333
528,451,399.2403333333333
529,503,427.85333333333335
530,515,412.9033333333333
531,460,351.44666666666666
532,434,331.77666666666664
533,413,308.5
534,328,268.8433333333333
535,295,248.16
536,302,252.09666666666666
537,327,365.9
538,421,348.04594444444444
539,504,402.14666666666665
540,565,489.68666666666667
541,611,647.7166666666667
542,597,526.7211111111111
543,498,442.93666666666667
544,413,387.4791666666667
545,314,352.0966666666667
546,207,217.57333333333332
547,175,177.03666666666666
548,155,152.55
549,130,172.13666666666666
550,183,286.05333333333334
551,283,357.06333333333333
552,437,397.07716666666664
553,484,418.6433333333333
554,495,398.2266666666667
555,450,351.8566666666667
556,430,329.7966666666667
557,396,302.02666666666664
558,320,269.5733333333333
559,279,254.8
560,315,261.9
561,358,333.9033333333333
562,461,331.71329894179894
563,542,415.64666666666665
564,602,527.38
565,653,652.06
566,606,564.6633333333333
567,509,455.44555555555553
568,404,381.105
569,302,286.95666666666665
570,209,207.95333333333335
571,175,153.42916666666667
572,159,144.33333333333334
573,164,205.18666666666667
574,292,309.50666666666666
575,457,403.426
576,492,408.1
577,522,427.21
578,484,403.83
579,413,380.53
580,388,342.8333333333333
581,298,288.51
582,270,298.4266666666667
583,269,273.9
584,331,294.92
585,335,301.07666666666665
586,429,369.6933333333333
587,513,393.92
588,609,471.43333333333334
589,654,544.8833333333333
590,608,538.938888888889
591,537,529.1366666666667
592,441,387.2486666666667
593,317,290.78
594,208,213.24577777777776
595,162,164.29333333333332
596,150,149.83
597,179,170.97
598,271,307.20666666666665
599,387,430.9886666666665
600,435,428.9033333333333
601,441,451.23333333333335
602,425,415.81333333333333
603,388,387.0466666666667
604,348,427.17
605,305,419.2633333333333
606,315,575.6966666666667
607,273,347.04
608,261,355.10333333333335
609,343,335.6144444444444
610,436,431.0966666666667
611,508,484.4033333333333
612,631,512.9233333333333
613,652,561.04
614,596,528.0536111111112
615,532,455.64
616,409,413.6062222222223
617,297,285.6333333333333
618,221,204.76222222222222
619,164,181.689
620,145,173.08
621,178,189.19666666666666
622,306,322.4066666666667
623,439,398.92
624,481,409.55333333333334
625,481,419.04
626,450,447.16
627,398,382.02
628,383,354.57666666666665
629,320,307.83933333333334
630,284,282.54
631,277,268.8075555555556
632,279,287.56333333333333
633,315,307.54333333333335
634,433,339.10333333333335
635,536,430.6433333333333
636,594,523.3833333333333
637,661,507.67
638,645,535.4433333333334
639,543,477.5566666666667
640,429,379.30333333333334
641,314,283.35333333333335
642,188,202.13666666666666
643,165,172.17194444444445
644,126,140.90666666666667
645,191,168.5
646,315,292.1433333333333
647,453,471.96666666666664
648,490,453.97333333333336
649,552,461.0975
650,491,462.6577777777778
651,422,417.5133333333333
652,386,371.38166666666666
653,337,301.1666666666667
654,293,266.57
655,286,241.60666666666665
656,273,249.76333333333332
657,326,282.93
658,409,378.00666666666666
659,488,415.9633333333333
660,573,521.7
661,647,604.4133333333333
662,635,518.7766666666666
663,532,469.27
664,416,395.75333333333333
665,315,301.4316666666667
666,207,213.32333333333332
667,159,166.92944444444444
668,146,147.01
669,170,178.27333333333334
670,333,271.5466666666667
671,475,353.01
672,500,452.84611111111116
673,509,466.68666666666667
674,483,469.7366666666667
675,416,417.3566666666667
676,402,379.19
677,312,301.0466666666667
678,298,252.93333333333334
679,310,241.53666666666666
680,276,243.72333333333333
681,333,312.96666666666664
682,379,338.00333333333333
683,466,402.8833333333333
684,557,528.8233333333334
685,610,678.5266666666666
686,577,544.8366666666667
687,515,437.73333333333335
688,433,365.0966666666667
689,332,269.77666666666664
690,224,204.98666666666668
691,170,160.68650000000002
692,137,145.94777777777776
693,162,202.73
694,214,303.5566666666667
695,366,416.7333888888889
696,480,405.63
697,534,437.81
698,535,443.05333333333334
699,490,382.02
700,465,337.01666666666665
701,380,288.5516666666667
702,309,290.575119047619
703,291,271.60333333333335
704,283,282.8666666666667
705,355,325.31666666666666
706,410,348.91
707,453,419.23333333333335
708,523,464.2094444444444
709,569,529.4533333333334
710,565,507.21
711,507,518.6366666666667
712,422,452.1163492063491
713,331,305.64
714,216,217.9711111111111
715,162,180.81566666666663
