,—éŽ­Žs,0
0,1311,1468.9633333333334
1,1448,1477.16
2,1352,1138.5466666666666
3,1299,1080.3833333333334
4,1238,1054.2466666666667
5,1163,1076.8583333333333
6,1182,1032.2518333333333
7,1169,1073.0633333333333
8,1173,975.0033333333333
9,1200,988.9366666666666
10,1322,1087.6766666666667
11,1519,1400.0875
12,1631,1575.5133333333333
13,1753,1703.9233333333334
14,1831,1779.71
15,1779,1635.9266666666667
16,1601,1435.378888888889
17,1320,1234.3866666666668
18,1124,981.0466666666666
19,908,843.6466666666666
20,778,813.2766666666666
21,774,764.9033333333333
22,888,969.6033333333334
23,1133,1362.26
24,1543,1502.9616666666666
25,1647,1555.91
26,1561,1413.9533333333334
27,1468,1319.33
28,1329,1155.2566666666667
29,1289,1114.0822222222223
30,1239,1099.3266666666666
31,1175,1084.4233333333334
32,1123,1000.4133333333333
33,1132,992.3333333333334
34,1223,1098.4033333333334
35,1411,1322.4777777777779
36,1578,1501.5866666666666
37,1700,1676.8466666666666
38,1779,1805.5566666666666
39,1725,1679.12
40,1551,1452.9255555555555
41,1246,1209.6333333333334
42,1102,1035.6166666666666
43,901,814.432
44,769,684.7116666666667
45,758,742.8133333333334
46,861,987.0566666666666
47,1091,1378.5516666666667
48,1443,1708.7216666666666
49,1572,1496.8866666666668
50,1455,1282.6733333333334
51,1359,1266.85
52,1304,1144.47
53,1192,1204.2233333333334
54,1215,1129.55
55,1185,1043.8286666666665
56,1101,1080.81
57,1149,1004.04
58,1217,1127.2466666666667
59,1365,1433.7833333333333
60,1551,1707.7433333333333
61,1629,1754.1055555555558
62,1722,1746.6866666666667
63,1682,1682.7306666666666
64,1480,1400.9766666666667
65,1253,1193.67
66,1053,975.88
67,878,879.82
68,736,716.8033333333333
69,753,747.8966666666666
70,813,889.1766666666666
71,1077,1344.6133333333332
72,1397,1670.7383333333332
73,1569,1529.6266666666668
74,1524,1378.15
75,1473,1273.89
76,1330,1128.73
77,1279,1187.4466666666667
78,1256,1193.9
79,1163,1129.0166666666667
