,0
0,1366.23
1,1584.8033333333333
2,1743.49
3,1849.2166666666667
4,1716.9466666666667
5,1463.76
6,1247.21
7,1003.03
8,806.6533333333333
9,675.5466666666666
10,784.2866666666666
11,862.9
12,1252.9766666666667
13,1445.2833333333333
14,1522.8133333333333
15,1374.4366666666667
16,1223.04
17,1162.4066666666668
18,1157.3633333333332
19,1045.9666666666667
20,1072.9566666666667
21,1031.4288888888887
22,1043.6666666666667
23,1206.9866666666667
24,1456.1133333333332
25,1605.5033333333333
26,1759.6266666666668
27,1837.167333333333
28,1659.93
29,1455.548888888889
30,1229.96
31,1038.9066666666668
32,859.2833333333333
33,730.24
34,766.8033333333333
35,872.7733333333333
36,1219.2433333333333
37,1495.41
38,1422.39
39,1199.8333333333333
40,1153.4366666666667
41,1059.91
42,1048.5846666666666
43,1034.0166666666667
44,962.2386031746032
45,981.7566666666667
46,1034.7066666666667
47,1125.0113095238094
48,1366.35
49,1573.77
50,1718.4308333333333
51,1803.7805
52,1726.5266666666666
53,1445.4266666666667
54,1247.5966666666666
55,1037.6733333333334
56,876.4925
57,739.01
58,766.0166666666667
59,884.72
60,1153.8833333333334
61,1443.6933333333334
62,1521.4666666666667
63,1355.27
64,1316.16
65,1211.54
66,1158.1216666666667
67,1167.3233333333333
68,1104.8333333333333
69,993.8433333333334
70,815.3833333333333
71,1227.8066666666666
72,1457.4933333333333
73,1634.1933333333334
74,1778.4966666666667
75,1886.6116666666667
76,1790.8033333333333
77,1515.4166666666667
78,1290.39
79,1082.6433333333334
80,907.4233333333333
81,807.4166666666666
82,792.3833333333333
83,924.2366666666667
84,1401.8
85,1590.5466666666666
86,1534.6566666666668
87,1298.0633333333333
88,1278.9466666666667
89,1214.6933333333334
90,1176.2733333333333
91,1182.7541666666666
92,1094.2633333333333
93,1055.1066666666666
94,1089.7066666666667
95,1159.5116666666668
96,1442.0666666666666
97,1572.5966666666666
98,1767.7366666666667
99,1839.5183333333334
100,1719.86
101,1469.4533333333334
102,1231.38
103,1061.5566666666666
104,886.5002777777779
105,756.47
106,743.5766666666667
107,880.1966666666667
108,1172.72
109,1398.9333333333334
110,1347.49
111,1138.7066666666667
112,1125.69
113,1015.9066666666666
114,995.1526666666666
115,1064.3231666666668
