,‹TŽRŽs,0
0,393,394.43666666666667
1,410,393.1566666666667
2,428,383.91333333333336
3,410,324.89666666666665
4,376,312.81333333333333
5,362,291.106
6,340,278.0933333333333
7,322,237.28
8,299,256.2366666666667
9,344,282.13666666666666
10,364,341.86
11,432,421.1383333333333
12,486,486.54
13,546,519.6433333333333
14,528,481.4766666666667
15,487,424.07666666666665
16,370,363.4
17,314,250.74
18,202,220.835
19,168,168.50177777777776
20,155,154.37605555555552
21,149,165.865
22,217,279.48
23,319,341.83666666666664
24,411,394.23833333333334
25,460,423.8988888888889
26,469,398.6535
27,412,365.3666666666667
28,379,323.6666666666667
29,356,281.6766666666667
30,298,281.6933333333333
31,279,246.71666666666667
32,286,251.86
33,305,283.19
34,339,340.01666666666665
35,372,390.16333333333336
36,445,427.5966666666667
37,507,542.07
38,541,488.29
39,449,454.47005555555563
40,389,366.75333333333333
41,326,252.57333333333332
42,197,201.22666666666666
43,160,153.89333333333335
44,128,139.71666666666667
45,140,162.90333333333334
46,193,276.49333333333334
47,286,418.8833333333333
48,392,444.19638095238093
49,444,458.85
50,477,425.08
51,434,375.0933333333333
52,378,349.99
53,368,282.56277777777774
54,281,270.81
55,250,239.62
56,280,249.54333333333332
57,280,281.14
58,337,355.1533333333333
59,397,392.10333333333335
60,424,445.3433333333333
61,479,524.1366666666667
62,519,470.6
63,452,432.82916666666665
64,377,356.3233333333333
65,283,271.43333333333334
66,199,202.75666666666666
67,141,162.16944444444445
68,134,142.435
69,133,164.5
70,208,281.22
71,303,379.70666666666665
72,403,410.95666666666665
73,483,419.0833333333333
74,484,415.99666666666667
75,413,375.2
76,378,346.6
77,336,286.1094444444445
78,283,264.2133333333333
79,253,235.67666666666668
80,269,255.06
81,269,283.3233333333333
82,337,341.53
83,348,399.80333333333334
84,423,458.8466666666667
85,507,506.43
86,497,491.2633333333333
87,428,432.61333333333334
88,376,360.7266666666667
89,301,339.3933333333333
90,192,211.26066666666668
91,153,164.315
92,116,144.54222222222225
93,117,188.82
94,168,279.75
95,266,378.42
96,381,404.74666666666667
97,421,406.3744444444444
98,448,411.505
99,411,345.31666666666666
100,367,308.50666666666666
101,319,340.3
102,277,284.1144444444444
103,262,277.9577777777778
104,257,250.20333333333335
105,283,284.2633333333333
106,358,346.44
107,390,431.135
108,417,500.4866666666667
109,498,515.3533333333334
110,487,503.35
111,416,437.95
112,371,344.66333333333336
113,303,267.62333333333333
114,186,206.86333333333334
115,127,176.94555555555556
116,133,166.45777777777778
117,126,191.11
118,195,281.7133333333333
119,309,380.0133333333333
120,383,405.89666666666665
121,423,419.8333333333333
122,451,399.4561111111111
123,397,345.7733333333333
124,340,313.8933333333333
125,318,291.5466666666667
126,287,288.74777777777774
127,247,278.7366666666667
128,249,257.4266666666667
129,321,379.11
130,370,399.3833333333333
131,394,432.9511111111111
132,459,445.4533333333333
133,528,523.26
134,514,493.65
135,421,446.30333333333334
136,349,358.5966666666667
137,274,267.67
138,182,200.55
139,136,144.1352380952381
140,134,136.06444444444446
141,143,140.44666666666666
142,260,233.86333333333334
143,369,343.54333333333335
144,399,417.77666666666664
145,417,418.8066666666667
146,429,425.12
147,350,346.87333333333333
148,312,317.55333333333334
149,274,289.6766666666667
150,258,250.73666666666668
151,226,219.37666666666667
152,234,225.52666666666667
153,241,280.5933333333333
154,308,312.51
155,393,386.97
156,465,449.4266666666667
157,521,515.2
158,525,496.5933333333333
159,469,453.84
160,384,357.4822222222222
161,295,263.8433333333333
162,181,191.62333333333333
163,151,157.74666666666667
