,0
0,272.14
1,333.12
2,349.8666666666667
3,334.8333333333333
4,284.66
5,219.88666666666666
6,149.07333333333332
7,110.62333333333333
8,86.12666666666667
9,80.42666666666666
10,122.92
11,232.14666666666668
12,352.52
13,351.7416666666667
14,294.79333333333335
15,235.03705555555553
16,202.35666666666665
17,163.74
18,153.05333333333334
19,157.03
20,136.28
21,133.47333333333333
22,167.03333333333333
23,211.23666666666668
24,272.4866666666667
25,306.29333333333335
26,345.05
27,328.1566666666667
28,284.9266666666667
29,220.06
30,149.13666666666666
31,114.60333333333334
32,80.27333333333333
33,73.06
34,113.09666666666666
35,222.05333333333334
36,364.62666666666667
37,366.92
38,278.0133333333333
39,219.17200000000003
40,189.37666666666667
41,162.85666666666665
42,154.16666666666666
43,142.43333333333334
44,139.21766666666667
45,137.18666666666667
46,175.65683333333334
47,219.54333333333332
48,269.4766666666667
49,307.2266666666667
50,354.06666666666666
51,335.80333333333334
52,280.96
53,212.97333333333333
54,155.17666666666668
55,110.90666666666667
56,89.68333333333334
57,87.88666666666667
58,126.01666666666667
59,222.62333333333333
60,327.2866666666667
61,353.38666666666666
62,312.5733333333333
63,248.11
64,203.47333333333333
65,168.79666666666665
66,158.58666666666667
67,150.80333333333334
68,137.68666666666667
69,146.97
70,173.94333333333333
71,226.66
72,278.6066666666667
73,317.0366666666667
74,340.92333333333335
75,336.72
76,289.99666666666667
77,220.64333333333335
78,157.34333333333333
79,106.95333333333333
80,85.18666666666667
81,76.86
82,120.74333333333334
83,218.57666666666665
84,346.6666666666667
85,353.47
86,281.12333333333333
87,212.01666666666668
88,175.97111111111113
89,152.29333333333332
90,147.31666666666666
91,149.05
92,151.06666666666666
93,144.55666666666667
94,184.24
95,224.88
96,270.07666666666665
97,327.92333333333335
98,352.97333333333336
99,350.22
100,290.1933333333333
101,227.58666666666667
102,156.29666666666665
103,111.40333333333334
104,88.06333333333333
105,73.86666666666666
106,118.01333333333334
107,214.94
108,341.7366666666667
109,353.17
110,279.1066666666667
111,222.45333333333335
112,180.85
113,145.18666666666667
114,141.87333333333333
115,145.93333333333334
116,145.47333333333333
117,141.01
118,166.94666666666666
119,222.27666666666667
120,279.05333333333334
121,338.01666666666665
122,360.81666666666666
123,343.73
124,288.3933333333333
125,216.14333333333335
126,157.13
127,108.75666666666666
128,84.42666666666666
129,77.48333333333333
130,109.5
131,184.95
132,311.3833333333333
133,356.62333333333333
134,282.3933333333333
135,235.59277777777777
136,196.96333333333334
137,160.00333333333333
138,154.28333333333333
139,153.84333333333333
140,135.81333333333333
141,135.26333333333332
142,161.66212698412699
143,213.97
144,249.93333333333334
145,298.97777777777776
146,337.78333333333336
147,329.7866666666667
148,290.20666666666665
149,227.32
150,164.22666666666666
151,119.95
152,82.13
153,75.85333333333334
154,107.03666666666666
155,214.15666666666667
156,332.82666666666665
157,356.55
158,291.22333333333336
159,245.89455555555557
160,198.91666666666666
161,160.62666666666667
162,134.39333333333335
163,147.07666666666665
164,142.54666666666665
165,136.92
166,168.05138888888888
167,218.68333333333334
168,265.28
169,309.4888888888889
170,355.51
171,328.16
172,285.26
173,214.21194444444444
174,155.14333333333335
175,106.98666666666666
176,82.36666666666666
177,81.92333333333333
178,103.80666666666667
179,216.83
180,308.34
181,347.3466666666667
182,312.17333333333335
183,232.02122222222232
184,208.19666666666666
185,166.86
186,143.575
187,152.16
188,142.96666666666667
189,136.89666666666668
190,177.22333333333333
191,219.56
192,269.78
193,309.48333333333335
194,338.2988888888889
195,325.36
196,287.24666666666667
197,226.31666666666666
198,160.74666666666667
199,109.81333333333333
200,87.01
201,90.13333333333334
202,118.33666666666667
203,225.97333333333333
204,366.37583333333333
205,363.15
206,288.03
