,0
0,270.15833333333336
1,309.18333333333334
2,350.94905555555556
3,337.0933333333333
4,284.45
5,220.10333333333332
6,157.59
7,110.47333333333333
8,79.55666666666667
9,74.04
10,100.20666666666666
11,189.87333333333333
12,311.99333333333334
13,332.8
14,293.96
15,228.70888888888885
16,190.30666666666667
17,172.30666666666667
18,147.38666666666666
19,147.57466666666667
20,138.70666666666668
21,116.52
22,133.10666666666665
23,179.97666666666666
24,255.165
25,311.53333333333336
26,353.8480555555555
27,328.11344444444444
28,286.62333333333333
29,218.56
30,157.90333333333334
31,109.83
32,77.87666666666667
33,77.47333333333333
34,113.12
35,195.55666666666667
36,279.37333333333333
37,332.58577777777776
38,248.64333333333335
39,205.80333333333334
40,167.08333333333334
41,146.85666666666665
42,144.19333333333333
43,137.88666666666666
44,125.65
45,152.84666666666666
46,167.52666666666667
47,225.39
48,262.01
49,327.50333333333333
50,335.6987222222222
51,332.4958333333334
52,275.2366666666667
53,222.06333333333333
54,164.58
55,119.06666666666666
56,96.41333333333333
57,98.74333333333334
58,119.27333333333333
59,194.62
60,299.99666666666667
61,327.3433333333333
62,278.3066666666667
63,220.83
64,188.26333333333332
65,172.76333333333332
66,159.99
67,152.29333333333332
68,142.80333333333334
69,147.86666666666667
70,166.62666666666667
71,205.19666666666666
72,262.0566666666667
73,324.9
74,331.83666666666664
75,328.66
76,298.59
77,225.38666666666666
78,165.3722222222222
79,113.53333333333333
80,88.42333333333333
81,82.58611111111111
82,90.87333333333333
83,181.286
84,256.06333333333333
85,355.78333333333336
86,288.72333333333336
87,223.73333333333332
88,190.2833333333333
89,168.59333333333333
90,158.14333333333335
91,147.01
92,130.53333333333333
93,141.55
94,162.12
95,214.30666666666667
96,273.01666666666665
97,315.3902777777777
98,358.8927777777778
99,324.77166666666665
100,279.7
101,226.73
102,161.14
103,110.29
104,91.88666666666667
105,82.83666666666667
106,110.44
107,180.51
108,289.31666666666666
109,326.61277777777775
110,261.91
111,219.14666666666668
112,191.78666666666666
113,167.41
114,148.71666666666667
115,150.63
116,146.28
117,155.75666666666666
118,182.86
119,237.01333333333332
120,285.5233333333333
121,326.2365
122,357.71
123,345.8933333333333
124,284.48333333333335
125,230.74666666666667
126,167.39333333333335
127,116.47333333333333
128,90.11
129,82.37333333333333
130,105.31666666666666
131,196.73666666666668
132,301.4433333333333
133,346.6533333333333
134,310.83666666666664
135,269.90450000000004
136,221.22666666666666
137,185.85
138,166.92333333333335
139,152.65
140,150.19333333333333
141,148.77333333333334
142,175.55
143,214.18
144,274.6666666666667
145,320.49666666666667
146,361.39
147,350.05333333333334
148,270.79333333333335
149,217.72144444444444
150,155.75452380952382
151,113.44
152,78.42333333333333
153,77.87333333333333
154,103.18666666666667
